time                   Mass                   Q                     dMdt                    dQdt                    fM                     hM                     delta_t               
2e-30                  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1e-30                 
4e-30                  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2e-30                 
8e-30                  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4e-30                 
1.6e-29                1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    8e-30                 
3.2e-29                1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.6e-29               
6.4e-29                1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.2e-29               
1.28e-28               1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    6.4e-29               
2.56e-28               1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.28e-28              
5.12e-28               1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.56e-28              
1.024e-27              1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.12e-28              
2.048e-27              1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.024e-27             
4.096e-27              1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.048e-27             
8.192e-27              1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.096e-27             
1.6384e-26             1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    8.192e-27             
3.2768e-26             1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.6384e-26            
6.5536e-26             1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.2768e-26            
1.31072e-25            1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    6.5536e-26            
2.62144e-25            1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.31072e-25           
5.24288e-25            1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.62144e-25           
1.048576e-24           1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.24288e-25           
2.097152e-24           1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.048576e-24          
4.194304e-24           1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.097152e-24          
8.388608e-24           1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.194304e-24          
1.6777216e-23          1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    8.388608e-24          
3.3554432e-23          1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.6777216e-23         
6.7108864e-23          1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.3554432e-23         
1.34217728e-22         1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    6.7108864e-23         
2.68435456e-22         1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.34217728e-22        
5.36870912e-22         1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.68435456e-22        
1.073741824e-21        1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.36870912e-22        
