              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         1.00000e+17    8.00000e-01
    4.95331e-21         9.99999e+16    7.99999e-01
    9.90662e-21         9.99998e+16    7.99998e-01
    1.98132e-20         9.99997e+16    7.99996e-01
    3.96265e-20         9.99993e+16    7.99992e-01
    7.92530e-20         9.99986e+16    7.99984e-01
    1.58506e-19         9.99971e+16    7.99968e-01
    3.17012e-19         9.99943e+16    7.99935e-01
    6.34024e-19         9.99885e+16    7.99871e-01
    1.26805e-18         9.99770e+16    7.99741e-01
    2.53609e-18         9.99540e+16    7.99482e-01
    5.07219e-18         9.99080e+16    7.98964e-01
    1.01444e-17         9.98161e+16    7.97932e-01
    2.02888e-17         9.96328e+16    7.95877e-01
    4.05775e-17         9.92679e+16    7.91811e-01
    8.11550e-17         9.85449e+16    7.83847e-01
    1.62310e-16         9.71092e+16    7.68448e-01
    2.43465e-16         9.56895e+16    7.54059e-01
    3.24620e-16         9.42831e+16    7.40624e-01
    4.05775e-16         9.28671e+16    7.27866e-01
    4.86930e-16         9.14395e+16    7.15761e-01
    5.68085e-16         8.99961e+16    7.04257e-01
    6.49240e-16         8.85258e+16    6.93236e-01
    7.30395e-16         8.70258e+16    6.82682e-01
    8.11550e-16         8.54929e+16    6.72581e-01
    8.92705e-16         8.39146e+16    6.62846e-01
    9.73860e-16         8.22854e+16    6.53461e-01
    1.05502e-15         8.06002e+16    6.44415e-01
    1.13617e-15         7.88529e+16    6.35678e-01
    1.21733e-15         7.70366e+16    6.27096e-01
    1.29848e-15         7.51432e+16    6.18662e-01
    1.37964e-15         7.31631e+16    6.10370e-01
    1.46079e-15         7.10846e+16    6.02217e-01
    1.54195e-15         6.88851e+16    5.94214e-01
    1.62310e-15         6.65438e+16    5.86358e-01
    1.70426e-15         6.40358e+16    5.78642e-01
    1.78541e-15         6.13284e+16    5.71056e-01
    1.86657e-15         5.83788e+16    5.63539e-01
    1.94772e-15         5.51297e+16    5.55853e-01
    2.02888e-15         5.14933e+16    5.47945e-01
    2.11003e-15         4.73336e+16    5.39741e-01
    2.15061e-15         4.48772e+16    5.35435e-01
    2.19119e-15         4.21468e+16    5.30967e-01
    2.23176e-15         3.90507e+16    5.26280e-01
    2.27234e-15         3.54437e+16    5.21304e-01
    2.29263e-15         3.32540e+16    5.18616e-01
    2.31292e-15         3.07663e+16    5.15774e-01
    2.33321e-15         2.78598e+16    5.12730e-01
    2.34335e-15         2.60873e+16    5.11070e-01
    2.35350e-15         2.40657e+16    5.09303e-01
    2.36364e-15         2.16900e+16    5.07397e-01
    2.36871e-15         2.02276e+16    5.06348e-01
    2.37378e-15         1.85461e+16    5.05224e-01
    2.37632e-15         1.75459e+16    5.04613e-01
    2.37886e-15         1.64285e+16    5.03967e-01
    2.38139e-15         1.51538e+16    5.03276e-01
    2.38393e-15         1.36556e+16    5.02528e-01
    2.38520e-15         1.27330e+16    5.02114e-01
    2.38646e-15         1.16720e+16    5.01669e-01
    2.38710e-15         1.10406e+16    5.01426e-01
    2.38773e-15         1.03350e+16    5.01169e-01
    2.38837e-15         9.52967e+15    5.00894e-01
    2.38900e-15         8.58250e+15    5.00595e-01
    2.38932e-15         7.99861e+15    5.00429e-01
    2.38964e-15         7.32636e+15    5.00251e-01
    2.38979e-15         6.92572e+15    5.00153e-01
    2.38995e-15         6.47738e+15    5.00050e-01
    2.39011e-15         5.96483e+15    4.99939e-01
    2.39019e-15         5.66262e+15    4.99878e-01
    2.39027e-15         5.32729e+15    4.99813e-01
    2.39035e-15         4.94841e+15    4.99743e-01
    2.39043e-15         4.50928e+15    4.99666e-01
    2.39047e-15         4.24487e+15    4.99623e-01
    2.39051e-15         3.94650e+15    4.99576e-01
    2.39055e-15         3.60130e+15    4.99525e-01
    2.39057e-15         3.39402e+15    4.99497e-01
    2.39059e-15         3.16066e+15    4.99466e-01
    2.39061e-15         2.89156e+15    4.99432e-01
    2.39062e-15         2.73080e+15    4.99413e-01
    2.39063e-15         2.55055e+15    4.99393e-01
    2.39064e-15         2.34393e+15    4.99371e-01
    2.39064e-15         2.22160e+15    4.99359e-01
    2.39065e-15         2.08543e+15    4.99346e-01
    2.39065e-15         1.93090e+15    4.99332e-01
    2.39066e-15         1.75064e+15    4.99316e-01
    2.39066e-15         1.64099e+15    4.99308e-01
    2.39066e-15         1.51620e+15    4.99298e-01
    2.39066e-15         1.37003e+15    4.99288e-01
    2.39066e-15         1.28051e+15    4.99282e-01
    2.39067e-15         1.17805e+15    4.99275e-01
    2.39067e-15         1.11751e+15    4.99272e-01
    2.39067e-15         1.05024e+15    4.99268e-01
    2.39067e-15         9.74077e+14    4.99264e-01
    2.39067e-15         8.85537e+14    4.99259e-01
    2.39067e-15         8.31971e+14    4.99257e-01
    2.39067e-15         7.71286e+14    4.99254e-01
    2.39067e-15         7.00676e+14    4.99251e-01
    2.39067e-15         6.57897e+14    4.99249e-01
    2.39067e-15         6.09373e+14    4.99247e-01
    2.39067e-15         5.52814e+14    4.99245e-01
    2.39067e-15         5.18452e+14    4.99244e-01
    2.39067e-15         4.79384e+14    4.99243e-01
    2.39067e-15         4.33688e+14    4.99241e-01
    2.39067e-15         4.05772e+14    4.99241e-01
    2.39067e-15         3.73883e+14    4.99240e-01
    2.39067e-15         3.55102e+14    4.99239e-01
    2.39067e-15         3.34282e+14    4.99239e-01
    2.39067e-15         3.10789e+14    4.99238e-01
    2.39067e-15         2.83609e+14    4.99238e-01
    2.39067e-15         2.67289e+14    4.99237e-01
    2.39067e-15         2.48916e+14    4.99237e-01
    2.39067e-15         2.27730e+14    4.99237e-01
    2.39067e-15         2.15075e+14    4.99236e-01
    2.39067e-15         2.00886e+14    4.99236e-01
    2.39067e-15         1.84622e+14    4.99236e-01
    2.39067e-15         1.74995e+14    4.99236e-01
    2.39067e-15         1.64278e+14    4.99236e-01
    2.39067e-15         1.52119e+14    4.99235e-01
    2.39067e-15         1.37937e+14    4.99235e-01
    2.39067e-15         1.29313e+14    4.99235e-01
    2.39067e-15         1.19501e+14    4.99235e-01
    2.39067e-15         1.08011e+14    4.99235e-01
    2.39067e-15         1.00979e+14    4.99235e-01
    2.39067e-15         9.29329e+13    4.99235e-01
    2.39067e-15         8.81832e+13    4.99235e-01
    2.39067e-15         8.29082e+13    4.99235e-01
    2.39067e-15         7.69405e+13    4.99235e-01
    2.39067e-15         7.00112e+13    4.99235e-01
    2.39067e-15         6.58268e+13    4.99235e-01
    2.39067e-15         6.10935e+13    4.99235e-01
    2.39067e-15         5.55983e+13    4.99235e-01
    2.39067e-15         5.22808e+13    4.99235e-01
    2.39067e-15         4.85288e+13    4.99235e-01
    2.39067e-15         4.41743e+13    4.99234e-01
    2.39067e-15         4.15467e+13    4.99234e-01
    2.39067e-15         3.85761e+13    4.99234e-01
    2.39067e-15         3.51305e+13    4.99234e-01
    2.39067e-15         3.30531e+13    4.99234e-01
    2.39067e-15         3.07064e+13    4.99234e-01
    2.39067e-15         2.79873e+13    4.99234e-01
    2.39067e-15         2.63508e+13    4.99234e-01
    2.39067e-15         2.45047e+13    4.99234e-01
    2.39067e-15         2.23699e+13    4.99234e-01
    2.39067e-15         2.10891e+13    4.99234e-01
    2.39067e-15         1.96479e+13    4.99234e-01
    2.39067e-15         1.79876e+13    4.99234e-01
    2.39067e-15         1.69972e+13    4.99234e-01
    2.39067e-15         1.58879e+13    4.99234e-01
    2.39067e-15         1.46183e+13    4.99234e-01
    2.39067e-15         1.38685e+13    4.99234e-01
    2.39067e-15         1.30354e+13    4.99234e-01
    2.39067e-15         1.20924e+13    4.99234e-01
    2.39067e-15         1.09966e+13    4.99234e-01
    2.39067e-15         1.03340e+13    4.99234e-01
    2.39067e-15         9.58378e+12    4.99234e-01
    2.39067e-15         8.71150e+12    4.99234e-01
    2.39067e-15         8.18365e+12    4.99234e-01
    2.39067e-15         7.58551e+12    4.99234e-01
    2.39067e-15         6.88931e+12    4.99234e-01
    2.39067e-15         6.46731e+12    4.99234e-01
    2.39067e-15         5.98843e+12    4.99234e-01
    2.39067e-15         5.42990e+12    4.99234e-01
    2.39067e-15         5.09023e+12    4.99234e-01
    2.39067e-15         4.70372e+12    4.99234e-01
    2.39067e-15         4.25108e+12    4.99234e-01
    2.39067e-15         3.97399e+12    4.99234e-01
    2.39067e-15         3.65692e+12    4.99234e-01
    2.39067e-15         3.46971e+12    4.99234e-01
    2.39067e-15         3.26174e+12    4.99234e-01
    2.39067e-15         3.02641e+12    4.99234e-01
    2.39067e-15         2.75305e+12    4.99234e-01
    2.39067e-15         2.58789e+12    4.99234e-01
    2.39067e-15         2.40096e+12    4.99234e-01
    2.39067e-15         2.18381e+12    4.99234e-01
    2.39067e-15         2.05256e+12    4.99234e-01
    2.39067e-15         1.90399e+12    4.99234e-01
    2.39067e-15         1.73133e+12    4.99234e-01
    2.39067e-15         1.62692e+12    4.99234e-01
    2.39067e-15         1.50868e+12    4.99234e-01
    2.39067e-15         1.37119e+12    4.99234e-01
    2.39067e-15         1.28796e+12    4.99234e-01
    2.39067e-15         1.19363e+12    4.99234e-01
    2.39067e-15         1.08380e+12    4.99234e-01
    2.39067e-15         1.01719e+12    4.99234e-01
    2.39067e-15         9.41571e+11    4.99234e-01
    2.39067e-15         8.53319e+11    4.99234e-01
    2.39067e-15         7.99594e+11    4.99234e-01
    2.39067e-15         7.38407e+11    4.99234e-01
    2.39067e-15         6.66659e+11    4.99234e-01
    2.39067e-15         6.22648e+11    4.99234e-01
    2.39067e-15         5.72196e+11    4.99234e-01
    2.39067e-15         5.42325e+11    4.99234e-01
    2.39067e-15         5.09072e+11    4.99234e-01
    2.39067e-15         4.71334e+11    4.99234e-01
    2.39067e-15         4.27311e+11    4.99234e-01
    2.39067e-15         4.00530e+11    4.99234e-01
    2.39067e-15         3.70049e+11    4.99234e-01
    2.39067e-15         3.34339e+11    4.99234e-01
    2.39067e-15         3.12466e+11    4.99234e-01
    2.39067e-15         2.87423e+11    4.99234e-01
    2.39067e-15         2.72625e+11    4.99234e-01
    2.39067e-15         2.56177e+11    4.99234e-01
    2.39067e-15         2.37549e+11    4.99234e-01
    2.39067e-15         2.15885e+11    4.99234e-01
    2.39067e-15         2.02770e+11    4.99234e-01
    2.39067e-15         1.87903e+11    4.99234e-01
    2.39067e-15         1.70591e+11    4.99234e-01
    2.39067e-15         1.60088e+11    4.99234e-01
    2.39067e-15         1.48163e+11    4.99234e-01
    2.39067e-15         1.34241e+11    4.99234e-01
    2.39067e-15         1.25761e+11    4.99234e-01
    2.39067e-15         1.16099e+11    4.99234e-01
    2.39067e-15         1.04762e+11    4.99234e-01
    2.39067e-15         9.78001e+10    4.99234e-01
    2.39067e-15         8.98119e+10    4.99234e-01
    2.39067e-15         8.50757e+10    4.99234e-01
    2.39067e-15         7.97975e+10    4.99234e-01
    2.39067e-15         7.37979e+10    4.99234e-01
    2.39067e-15         6.67831e+10    4.99234e-01
    2.39067e-15         6.25002e+10    4.99234e-01
    2.39067e-15         5.76103e+10    4.99234e-01
    2.39067e-15         5.18549e+10    4.99234e-01
    2.39067e-15         4.83030e+10    4.99234e-01
    2.39067e-15         4.42096e+10    4.99234e-01
    2.39067e-15         4.17663e+10    4.99234e-01
    2.39067e-15         3.90288e+10    4.99234e-01
    2.39067e-15         3.58937e+10    4.99234e-01
    2.39067e-15         3.40404e+10    4.99234e-01
    2.39067e-15         3.19799e+10    4.99234e-01
    2.39067e-15         2.96452e+10    4.99234e-01
    2.39067e-15         2.69283e+10    4.99234e-01
    2.39067e-15         2.52819e+10    4.99234e-01
    2.39067e-15         2.34141e+10    4.99234e-01
    2.39067e-15         2.12364e+10    4.99234e-01
    2.39067e-15         1.99128e+10    4.99234e-01
    2.39067e-15         1.84074e+10    4.99234e-01
    2.39067e-15         1.66457e+10    4.99234e-01
    2.39067e-15         1.55686e+10    4.99234e-01
    2.39067e-15         1.43372e+10    4.99234e-01
    2.39067e-15         1.36112e+10    4.99234e-01
    2.39067e-15         1.28057e+10    4.99234e-01
    2.39067e-15         1.18957e+10    4.99234e-01
    2.39067e-15         1.08411e+10    4.99234e-01
    2.39067e-15         1.02062e+10    4.99234e-01
    2.39067e-15         9.48989e+09    4.99234e-01
    2.39067e-15         8.66136e+09    4.99234e-01
    2.39067e-15         8.16405e+09    4.99234e-01
    2.39067e-15         7.60431e+09    4.99234e-01
    2.39067e-15         6.95913e+09    4.99234e-01
    2.39067e-15         6.57395e+09    4.99234e-01
    2.39067e-15         6.14232e+09    4.99234e-01
    2.39067e-15         5.64788e+09    4.99234e-01
    2.39067e-15         5.35549e+09    4.99234e-01
    2.39067e-15         5.03030e+09    4.99234e-01
    2.39067e-15         4.66170e+09    4.99234e-01
    2.39067e-15         4.23251e+09    4.99234e-01
    2.39067e-15         3.97218e+09    4.99234e-01
    2.39067e-15         3.67662e+09    4.99234e-01
    2.39067e-15         3.33163e+09    4.99234e-01
    2.39067e-15         3.12156e+09    4.99234e-01
    2.39067e-15         2.88226e+09    4.99234e-01
    2.39067e-15         2.60158e+09    4.99234e-01
    2.39067e-15         2.42932e+09    4.99234e-01
    2.39067e-15         2.23177e+09    4.99234e-01
    2.39067e-15         2.11473e+09    4.99234e-01
