              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    1.23835e-21         9.67253e+16    7.59157e-01
    1.23837e-21         9.36614e+16    7.25013e-01
    1.23838e-21         9.06081e+16    6.95364e-01
    1.23840e-21         8.74790e+16    6.69010e-01
    1.23842e-21         8.41945e+16    6.45441e-01
    1.23844e-21         8.06921e+16    6.24158e-01
    1.23846e-21         7.69140e+16    6.04213e-01
    1.23848e-21         7.27715e+16    5.85663e-01
    1.23850e-21         6.81137e+16    5.68649e-01
    1.23852e-21         6.27647e+16    5.52939e-01
    1.23853e-21         5.96079e+16    5.45260e-01
    1.23854e-21         5.60990e+16    5.37681e-01
    1.23854e-21         5.21274e+16    5.30191e-01
    1.23855e-21         4.75110e+16    5.22685e-01
    1.23856e-21         4.47177e+16    5.18982e-01
    1.23856e-21         4.15559e+16    5.15280e-01
    1.23857e-21         3.78855e+16    5.11553e-01
    1.23857e-21         3.56722e+16    5.09666e-01
    1.23857e-21         3.31722e+16    5.07768e-01
    1.23858e-21         3.02770e+16    5.05853e-01
    1.23858e-21         2.85372e+16    5.04877e-01
    1.23858e-21         2.65773e+16    5.03890e-01
    1.23858e-21         2.43159e+16    5.02894e-01
    1.23858e-21         2.29642e+16    5.02390e-01
    1.23858e-21         2.14481e+16    5.01874e-01
    1.23858e-21         1.97096e+16    5.01348e-01
    1.23858e-21         1.86798e+16    5.01081e-01
    1.23858e-21         1.75331e+16    5.00810e-01
    1.23858e-21         1.62312e+16    5.00532e-01
    1.23858e-21         1.47120e+16    5.00248e-01
    1.23858e-21         1.37871e+16    5.00103e-01
    1.23858e-21         1.27339e+16    4.99956e-01
    1.23858e-21         1.14993e+16    4.99802e-01
    1.23858e-21         1.07421e+16    4.99721e-01
    1.23858e-21         9.87448e+15    4.99637e-01
    1.23858e-21         9.36104e+15    4.99593e-01
    1.23858e-21         8.78971e+15    4.99547e-01
    1.23858e-21         8.14168e+15    4.99499e-01
    1.23858e-21         7.38636e+15    4.99449e-01
    1.23858e-21         6.92750e+15    4.99422e-01
    1.23858e-21         6.40584e+15    4.99394e-01
    1.23858e-21         5.79573e+15    4.99364e-01
    1.23858e-21         5.42307e+15    4.99347e-01
    1.23858e-21         4.99744e+15    4.99330e-01
    1.23858e-21         4.74682e+15    4.99321e-01
    1.23858e-21         4.46904e+15    4.99311e-01
    1.23858e-21         4.15565e+15    4.99301e-01
    1.23858e-21         3.79321e+15    4.99290e-01
    1.23858e-21         3.57571e+15    4.99284e-01
    1.23858e-21         3.33094e+15    4.99277e-01
    1.23858e-21         3.04887e+15    4.99271e-01
    1.23858e-21         2.88053e+15    4.99267e-01
    1.23858e-21         2.69194e+15    4.99264e-01
    1.23858e-21         2.47601e+15    4.99260e-01
    1.23858e-21         2.34839e+15    4.99257e-01
    1.23858e-21         2.20652e+15    4.99255e-01
    1.23858e-21         2.04582e+15    4.99252e-01
    1.23858e-21         1.85888e+15    4.99250e-01
    1.23858e-21         1.74567e+15    4.99248e-01
    1.23858e-21         1.61729e+15    4.99246e-01
    1.23858e-21         1.46773e+15    4.99244e-01
    1.23858e-21         1.37693e+15    4.99243e-01
    1.23858e-21         1.27377e+15    4.99242e-01
    1.23858e-21         1.15321e+15    4.99241e-01
    1.23858e-21         1.07967e+15    4.99240e-01
    1.23858e-21         9.95772e+14    4.99239e-01
    1.23858e-21         8.97140e+14    4.99239e-01
